Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
0,Felix Bartsch,Musik,29,328,3,0.540404,0.599342,29825.870384,1,215
1,Willy Schmidt-Gentner,Musik,25,287,4,0.532044,0.59216,24524.968386,0.894267,208
2,Hans May,Musik,23,263,3,0.537388,0.58965,26668.589554,0.821943,192
3,Walter Ulfig,Musik,18,202,3,0.511146,0.558152,11962.427385,0.681393,147
4,Jacek Rotmil,Bauten,16,183,3,0.499741,0.541018,6834.767872,0.647645,119
5,Gustav A. Knauer,Bauten,16,160,4,0.516631,0.555729,11086.737191,0.644136,128
6,Wilhelm Dieterle,Darsteller/Drehbuch/Regie/Produzent,15,138,4,0.488832,0.525009,5730.642782,0.480866,94
7,Erich Kaiser-Titz,Darsteller,14,127,3,0.493593,0.530633,9836.716727,0.475017,101
8,Pasquale Perris,Musik,14,162,3,0.504982,0.547248,9564.385962,0.615632,127
9,Werner Richard Heymann,Musik,13,159,3,0.501301,0.547248,14804.776004,0.534289,134
10,Reinhold Schünzel,Darsteller/Drehbuch/Produzent/Regie,13,122,4,0.414015,0.442195,387.493616,0.143427,29
11,Harry Liedtke,Darsteller,13,150,3,0.482465,0.522499,4014.460797,0.558995,100
12,Albert Steinrück,Darsteller,12,132,3,0.503925,0.542748,8944.494982,0.597605,116
13,Franz Schroedter,Bauten,12,142,3,0.471828,0.508827,4248.52664,0.381562,83
14,Hermann Picha,Darsteller,12,132,3,0.497417,0.536691,12268.115776,0.546915,111
15,Friedrich Fehér,Regie/Drehbuch/Darsteller/Produzent,12,112,4,0.420524,0.448252,413.986232,0.164262,30
16,Georg Alexander,Darsteller,11,117,4,0.470905,0.505798,2024.864891,0.434853,74
17,Ernst Rückert,Darsteller,11,112,4,0.482223,0.517913,6968.456631,0.376022,85
18,Hans Mierendorff,Darsteller,11,111,4,0.483191,0.522326,8644.403434,0.429668,96
19,Julius Falkenstein,Darsteller,11,132,4,0.483434,0.525009,8621.660994,0.466048,105
20,Willi A. Herrmann,Bauten,10,115,3,0.487842,0.523191,12423.973178,0.352535,91
21,Robert Liebmann,Drehbuch,10,122,3,0.473684,0.51298,3802.48544,0.447622,91
22,Gustav Gold,Musik,10,113,3,0.488584,0.527172,7742.68161,0.419899,101
23,Werner Fuetterer,Darsteller,10,106,4,0.479104,0.517307,6583.590554,0.402447,90
24,Harry Hardt,Darsteller,10,106,3,0.48006,0.518345,5792.872656,0.412583,93
25,Richard Eichberg,Produzent/Regie,10,113,4,0.417244,0.448858,576.826471,0.185129,41
26,Jack Trevor,Darsteller,10,116,4,0.479343,0.512375,2987.51521,0.449005,77
27,Max Heilbronner,Bauten,10,111,4,0.479821,0.517567,3776.813017,0.452974,91
28,Guido Seeber,Kamera,9,104,4,0.448742,0.483472,1297.156469,0.338658,62
29,Kurt Gerron,Darsteller,9,92,3,0.472754,0.508827,3958.689898,0.437191,81
30,Wolfgang Neff,Regie,9,70,4,0.443779,0.47577,1771.917386,0.238578,50
31,Egon von Jordan,Darsteller,9,90,3,0.470674,0.505538,4814.136416,0.393934,76
32,Karl Machus,Bauten,9,87,4,0.459447,0.495933,3031.828044,0.35847,71
