Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
0,Willy Schmidt-Gentner,Musik,16,206,4,0.511329,0.567365,16739.073347,1,149
1,Felix Bartsch,Musik,16,174,4,0.51799,0.568263,16441.147382,0.976383,141
2,Willi A. Herrmann,Bauten,13,132,3,0.48603,0.530739,8290.541755,0.678468,101
3,Harry Liedtke,Darsteller,12,137,4,0.493791,0.538623,8112.601458,0.796077,106
4,Hans May,Musik,11,122,4,0.485748,0.53014,7646.773299,0.743387,99
5,Otto Kanturek,Kamera,11,133,3,0.499402,0.538323,6302.717079,0.787772,97
6,Henry Bender,Darsteller,11,123,4,0.502407,0.540319,6287.092244,0.796366,96
7,Margarete Kupfer,Darsteller,11,110,4,0.466741,0.516068,9305.636674,0.572333,98
8,Wilhelm Dieterle,Darsteller,11,125,4,0.496728,0.543014,16011.635101,0.702592,112
9,Erich Kaiser-Titz,Darsteller,11,110,4,0.490888,0.530938,10089.391288,0.564279,92
10,Maly Delschaft,Darsteller,11,114,4,0.491466,0.533134,7652.03544,0.702722,96
11,Jacek Rotmil,Bauten,10,107,4,0.471485,0.513373,4802.075904,0.687149,83
12,Reinhold Schünzel,Darsteller/Drehbuch/Produzent/Regie,10,108,4,0.429748,0.463174,1214.6684,0.326444,43
13,Frida Richard,Darsteller,10,111,3,0.493791,0.536128,15606.765564,0.635857,101
14,Arpad Viragh,Kamera,9,98,4,0.48462,0.519461,3772.274896,0.632639,74
15,Fritz Kampers,Darsteller,9,94,4,0.479334,0.517565,4250.742012,0.660603,79
16,Adolf Lantz,Drehbuch,9,113,4,0.46544,0.506986,3063.0104,0.615589,78
17,Hans Albers,Darsteller,9,94,4,0.473088,0.515369,4698.277912,0.623103,85
18,Angelo Ferrari,Darsteller,9,98,4,0.474972,0.515569,6738.893981,0.544489,82
19,Gerhard Lamprecht,Drehbuch/Produzent/Regie,9,93,4,0.391651,0.417166,195.752395,0.126314,22
20,Werner Richard Heymann,Musik,9,106,3,0.482938,0.523752,6660.948845,0.652384,89
21,Gustave Preiß,Kamera,8,85,4,0.452575,0.493214,3977.619899,0.469218,69
22,Friedrich Zelnik,Produzent/Regie,8,98,4,0.430857,0.45978,288.243657,0.297273,32
23,Gräfin Agnes Esterhazy,Darsteller,8,93,4,0.468838,0.508683,3913.568886,0.541925,76
24,Ernö Verebes,Darsteller,8,92,4,0.474162,0.513074,6434.568081,0.548865,78
25,Hermann Picha,Darsteller,8,82,4,0.462604,0.500998,4354.66839,0.538009,69
26,Hans Sohnle,Bauten,8,88,4,0.447961,0.48493,2606.703192,0.442809,59
27,Hermann Warm,Bauten,8,88,4,0.458539,0.499401,4411.925506,0.486928,73
28,Jane Bess,Drehbuch,8,101,4,0.460055,0.499202,1933.410404,0.576049,69
29,Otto Erdmann,Bauten,8,88,4,0.447961,0.48493,2606.703192,0.442809,59
30,Livio C. Pavanelli,Darsteller,8,89,3,0.4657,0.504591,3663.222287,0.602065,73
31,Curt Courant,Kamera,8,89,4,0.461581,0.501198,3249.23132,0.511875,71
32,Robert A. Dietrich,Bauten,8,84,4,0.46596,0.503393,4984.739155,0.45579,68
33,Eduard von Winterstein,Darsteller,8,92,3,0.476055,0.515968,8030.08412,0.546378,82
34,Siegfried Arno,Darsteller,8,88,4,0.470953,0.509481,3783.669649,0.581453,75
35,Olga Engl,Darsteller,7,78,4,0.465181,0.502196,2946.539831,0.543728,67
36,Max Glass,Drehbuch,7,67,4,0.450864,0.484731,1218.30094,0.45141,51
37,Hans Mierendorff,Darsteller,7,74,4,0.465181,0.503493,3829.158327,0.536526,70
38,Aud Egede-Nissen,Darsteller,7,76,4,0.451595,0.486826,3721.5424,0.323347,55
39,Carl Drews,Kamera,7,82,4,0.46286,0.497206,2505.834578,0.461362,59
40,Kurt Vespermann,Darsteller,7,72,4,0.46622,0.501796,3934.643324,0.469978,64
41,Willy Hameister,Kamera,7,76,3,0.441565,0.481437,3086.006034,0.420194,64
42,Albert Paulig,Darsteller,7,76,4,0.4657,0.502395,3101.710278,0.511161,67
43,Andrej Andrejew,Bauten,7,91,4,0.461071,0.495908,2024.099064,0.490215,59
44,Giuseppe Becce,Musik,7,88,4,0.445333,0.488822,5404.951495,0.38812,73
45,Alfred Schirokauer,Drehbuch,7,78,4,0.442736,0.480739,2514.800909,0.443091,58
46,Carl Boese,Regie,7,73,4,0.451595,0.488723,2147.923261,0.484178,60
47,Walter Rilla,Darsteller,6,66,4,0.447002,0.484531,3383.808785,0.464669,57
48,Hilde Maroff,Darsteller,6,61,4,0.456783,0.490419,2276.537254,0.408196,54
49,Ernst Stern,Bauten,6,63,4,0.451595,0.486327,4416.14502,0.380763,55
50,Colette Brettel,Darsteller,6,59,4,0.448925,0.483333,1820.167261,0.419629,52
51,Karl Platen,Darsteller,6,56,4,0.43809,0.473752,2620.279975,0.291887,51
52,Manfred Noa,Regie,6,65,4,0.452575,0.486727,1443.414056,0.446672,53
53,Richard Eichberg,Produzent/Regie,6,63,4,0.4175,0.448902,488.864342,0.262162,35
54,Theodor Sparkuhl,Kamera,6,70,4,0.463374,0.499701,3646.615131,0.473137,64
55,Robert Liebmann,Drehbuch,6,60,4,0.42602,0.463872,2707.317389,0.302722,53
56,Fritz Alberti,Darsteller,6,68,4,0.460563,0.495808,2683.661709,0.47916,60
57,Franz Schroedter,Bauten,6,74,4,0.420867,0.460479,2643.672618,0.295467,54
58,Jakob Tiedtke,Darsteller,6,68,4,0.461581,0.498004,4417.250231,0.461235,63
59,Oskar Marion,Darsteller,6,63,4,0.443913,0.481038,4284.848214,0.331385,57
60,Bobby E. Lüthge,Drehbuch,6,63,4,0.447002,0.480838,1775.258949,0.366269,50
61,Olga Tschechowa,Darsteller,6,61,4,0.448684,0.484232,2545.100529,0.399714,55
62,Curt J. Braun,Drehbuch,6,68,4,0.46622,0.4999,2983.158203,0.433497,59
63,Hanni Reinwald,Darsteller,6,62,4,0.442033,0.47984,3097.746322,0.387005,58
64,Oskar Friedrich Werndorff,Bauten,6,76,4,0.444859,0.48523,1927.144332,0.519914,65
65,Heinrich Richter,Bauten,6,62,4,0.433091,0.468563,4202.825591,0.368373,47
66,Ernst Rückert,Darsteller,6,57,4,0.449408,0.484032,2516.48644,0.393968,53
67,Anita Dorris,Darsteller,6,62,4,0.450135,0.485529,2291.067029,0.423411,56
68,Grete Reinwald,Darsteller,6,65,3,0.454793,0.489222,2897.431327,0.38165,56
69,Liane Haid,Darsteller,6,67,4,0.456284,0.489022,1356.809211,0.471777,52
70,Fritz Spira,Darsteller,6,66,4,0.452575,0.488723,1347.268293,0.524348,58
71,Ludwig Reiber,Bauten,6,60,4,0.417709,0.455389,5205.271802,0.199184,51
72,Henry Stuart,Darsteller,6,71,3,0.46648,0.501996,4624.381728,0.418151,65
74,Leopold Kutzleb,Kamera,5,45,4,0.42602,0.456986,1123.326678,0.228921,34
75,Hanni Weisse,Darsteller,5,54,4,0.445333,0.478443,1789.034701,0.339483,47
76,Georg Alexander,Darsteller,5,50,4,0.436031,0.468862,1077.195172,0.375476,44
77,Paul Morgan,Darsteller,5,58,4,0.428425,0.463972,1223.295552,0.374236,48
78,Carl Ludwig Kirmse,Bauten,5,55,4,0.436031,0.471158,1984.533704,0.328007,49
79,Ida Wüst,Darsteller,5,60,4,0.443677,0.478244,1192.086322,0.446924,51
80,Fanny Carlsen,Drehbuch,5,61,4,0.441099,0.471856,743335,0.352615,40
81,Willy Großstück,Kamera,5,49,4,0.435349,0.468463,1248.400102,0.32249,44
82,Ruth Goetz,Drehbuch,5,50,4,0.445809,0.478343,5369.16175,0.340699,47
83,Carl de Vogt,Darsteller,5,49,4,0.429527,0.463473,2404.492992,0.252689,44
84,Gustav Ucicky,Kamera,5,51,4,0.428865,0.459182,383.95685,0.321214,35
85,Georg C. Klaren,Drehbuch,5,55,4,0.435349,0.470559,1447.377509,0.363996,49
